file,year,kind,subject,chapter,title,hits
2011年计算机408统考真题. .pdf,2011,真题,操作系统,第1章,概述、运行机制、中断/异常、系统调用、引导,20
2011年计算机408统考真题. .pdf,2011,真题,操作系统,第2章,进程、线程、处理机调度、同步互斥、死锁,23
2011年计算机408统考真题. .pdf,2011,真题,操作系统,第3章,内存管理、页表、虚拟内存、页面置换,23
2011年计算机408统考真题. .pdf,2011,真题,操作系统,第4章,文件系统、目录、文件分配、空闲空间管理,22
2011年计算机408统考真题. .pdf,2011,真题,操作系统,第5章,I/O 管理、缓冲、磁盘调度、设备管理,14
2011年计算机408统考真题. .pdf,2011,真题,计算机组成原理,第1章,概述、性能指标、层次结构,8
2011年计算机408统考真题. .pdf,2011,真题,计算机组成原理,第2章,数据表示与运算,9
2011年计算机408统考真题. .pdf,2011,真题,计算机组成原理,第3章,存储系统、Cache、主存、虚拟存储,27
2011年计算机408统考真题. .pdf,2011,真题,计算机组成原理,第4章,指令系统、寻址方式、机器级程序,26
2011年计算机408统考真题. .pdf,2011,真题,计算机组成原理,第5章,CPU、数据通路、控制器、流水线、中断异常,32
2011年计算机408统考真题. .pdf,2011,真题,计算机组成原理,第6章,总线,1
2011年计算机408统考真题. .pdf,2011,真题,计算机组成原理,第7章,输入输出系统、DMA、中断、接口,17
2012年计算机408统考真题. .pdf,2012,真题,操作系统,第1章,概述、运行机制、中断/异常、系统调用、引导,24
2012年计算机408统考真题. .pdf,2012,真题,操作系统,第2章,进程、线程、处理机调度、同步互斥、死锁,35
2012年计算机408统考真题. .pdf,2012,真题,操作系统,第3章,内存管理、页表、虚拟内存、页面置换,10
2012年计算机408统考真题. .pdf,2012,真题,操作系统,第4章,文件系统、目录、文件分配、空闲空间管理,28
2012年计算机408统考真题. .pdf,2012,真题,操作系统,第5章,I/O 管理、缓冲、磁盘调度、设备管理,14
2012年计算机408统考真题. .pdf,2012,真题,计算机组成原理,第1章,概述、性能指标、层次结构,10
2012年计算机408统考真题. .pdf,2012,真题,计算机组成原理,第2章,数据表示与运算,3
2012年计算机408统考真题. .pdf,2012,真题,计算机组成原理,第3章,存储系统、Cache、主存、虚拟存储,37
2012年计算机408统考真题. .pdf,2012,真题,计算机组成原理,第4章,指令系统、寻址方式、机器级程序,25
2012年计算机408统考真题. .pdf,2012,真题,计算机组成原理,第5章,CPU、数据通路、控制器、流水线、中断异常,43
2012年计算机408统考真题. .pdf,2012,真题,计算机组成原理,第6章,总线,11
2012年计算机408统考真题. .pdf,2012,真题,计算机组成原理,第7章,输入输出系统、DMA、中断、接口,29
2013年计算机408统考真题. .pdf,2013,真题,计算机组成原理,第5章,CPU、数据通路、控制器、流水线、中断异常,2
2014年计算机408统考真题. .pdf,2014,真题,操作系统,第1章,概述、运行机制、中断/异常、系统调用、引导,10
2014年计算机408统考真题. .pdf,2014,真题,操作系统,第2章,进程、线程、处理机调度、同步互斥、死锁,33
2014年计算机408统考真题. .pdf,2014,真题,操作系统,第3章,内存管理、页表、虚拟内存、页面置换,11
2014年计算机408统考真题. .pdf,2014,真题,操作系统,第4章,文件系统、目录、文件分配、空闲空间管理,24
2014年计算机408统考真题. .pdf,2014,真题,操作系统,第5章,I/O 管理、缓冲、磁盘调度、设备管理,15
2014年计算机408统考真题. .pdf,2014,真题,计算机组成原理,第1章,概述、性能指标、层次结构,4
2014年计算机408统考真题. .pdf,2014,真题,计算机组成原理,第2章,数据表示与运算,8
2014年计算机408统考真题. .pdf,2014,真题,计算机组成原理,第3章,存储系统、Cache、主存、虚拟存储,25
2014年计算机408统考真题. .pdf,2014,真题,计算机组成原理,第4章,指令系统、寻址方式、机器级程序,49
2014年计算机408统考真题. .pdf,2014,真题,计算机组成原理,第5章,CPU、数据通路、控制器、流水线、中断异常,40
2014年计算机408统考真题. .pdf,2014,真题,计算机组成原理,第6章,总线,9
2014年计算机408统考真题. .pdf,2014,真题,计算机组成原理,第7章,输入输出系统、DMA、中断、接口,24
2017年计算机408统考真题. .pdf,2017,真题,操作系统,第1章,概述、运行机制、中断/异常、系统调用、引导,17
2017年计算机408统考真题. .pdf,2017,真题,操作系统,第2章,进程、线程、处理机调度、同步互斥、死锁,23
2017年计算机408统考真题. .pdf,2017,真题,操作系统,第3章,内存管理、页表、虚拟内存、页面置换,8
2017年计算机408统考真题. .pdf,2017,真题,操作系统,第4章,文件系统、目录、文件分配、空闲空间管理,31
2017年计算机408统考真题. .pdf,2017,真题,操作系统,第5章,I/O 管理、缓冲、磁盘调度、设备管理,5
2017年计算机408统考真题. .pdf,2017,真题,计算机组成原理,第1章,概述、性能指标、层次结构,3
2017年计算机408统考真题. .pdf,2017,真题,计算机组成原理,第2章,数据表示与运算,5
2017年计算机408统考真题. .pdf,2017,真题,计算机组成原理,第3章,存储系统、Cache、主存、虚拟存储,20
