file,year,kind,raw_text_len,non_space_len,cjk_chars
2009年计算机408统考真题. .pdf,2009,真题,6756,5396,120
2010年计算机408统考真题. .pdf,2010,真题,7581,6056,120
2011年计算机408统考真题. .pdf,2011,真题,8716,7392,3977
2012年计算机408统考真题. .pdf,2012,真题,8881,7420,4190
2013年计算机408统考真题. .pdf,2013,真题,7377,5667,120
2014年计算机408统考真题. .pdf,2014,真题,8507,7312,3945
2015年计算机408统考真题. .pdf,2015,真题,7695,6200,135
2016年计算机408统考真题. .pdf,2016,真题,8121,6420,120
2017年计算机408统考真题. .pdf,2017,真题,8541,7208,3839
2018年计算机408统考真题. .pdf,2018,真题,8016,6268,120
2019年计算机408统考真题. .pdf,2019,真题,8106,7219,4025
2021年计算机408统考真题. .pdf,2021,真题,10203,8445,3472
2022年计算机408统考真题. .pdf,2022,真题,9248,7671,4485
2023年计算机408统考真题. .pdf,2023,真题,440,311,227
2009年计算机408统考真题解析. .pdf,2009,解析/答案,13686,12223,7394
2010年计算机408统考真题解析. .pdf,2010,解析/答案,13594,12161,7642
2011年计算机408统考真题解析. .pdf,2011,解析/答案,15148,13478,8110
2012年计算机408统考真题解析. .pdf,2012,解析/答案,14096,12364,7537
2013年计算机408统考真题解析. .pdf,2013,解析/答案,11450,10168,6062
2014年计算机408统考真题解析. .pdf,2014,解析/答案,17596,15894,9206
2015年计算机408统考真题解析. .pdf,2015,解析/答案,9665,8505,4900
2016年计算机408统考真题解析. .pdf,2016,解析/答案,15213,13647,8377
2017年计算机408统考真题解析. .pdf,2017,解析/答案,11650,10480,6371
2018年计算机408统考真题解析. .pdf,2018,解析/答案,11374,10139,6252
2019年计算机408统考真题解析. .pdf,2019,解析/答案,251,228,180
2020年计算机408统考真题解析. .pdf,2020,解析/答案,13547,11829,7321
2021年计算机408统考真题解析. .pdf,2021,解析/答案,251,228,180
2022年计算机408统考真题解析. .pdf,2022,解析/答案,13176,11615,6973
2023年计算机408统考真题解析. .pdf,2023,解析/答案,440,311,227
25王道408历年真题.pdf,合集,合集,27,0,0
2025年计算机408统考真题及答案.pdf,2025,解析/答案,31,0,0
