file_name,year,kind,page,method,chars,cjk_chars
2009年计算机408统考真题. .pdf,2009,真题,1,ocr_easyocr,673,465
2009年计算机408统考真题. .pdf,2009,真题,2,ocr_easyocr,1369,621
2009年计算机408统考真题. .pdf,2009,真题,3,ocr_easyocr,1108,658
2009年计算机408统考真题. .pdf,2009,真题,4,ocr_easyocr,1295,719
2009年计算机408统考真题. .pdf,2009,真题,5,ocr_easyocr,1119,656
2009年计算机408统考真题. .pdf,2009,真题,6,ocr_easyocr,457,327
2009年计算机408统考真题. .pdf,2009,真题,7,ocr_easyocr,1121,563
2009年计算机408统考真题. .pdf,2009,真题,8,ocr_easyocr,258,160
2010年计算机408统考真题. .pdf,2010,真题,1,ocr_easyocr,655,420
2010年计算机408统考真题. .pdf,2010,真题,2,ocr_easyocr,1041,534
2010年计算机408统考真题. .pdf,2010,真题,3,ocr_easyocr,1021,466
2010年计算机408统考真题. .pdf,2010,真题,4,ocr_easyocr,993,517
2010年计算机408统考真题. .pdf,2010,真题,5,ocr_easyocr,1312,715
2010年计算机408统考真题. .pdf,2010,真题,6,ocr_easyocr,1259,587
2010年计算机408统考真题. .pdf,2010,真题,7,ocr_easyocr,844,552
2010年计算机408统考真题. .pdf,2010,真题,8,ocr_easyocr,368,273
2011年计算机408统考真题. .pdf,2011,真题,1,digital_text,1114,475
2011年计算机408统考真题. .pdf,2011,真题,2,digital_text,1333,654
2011年计算机408统考真题. .pdf,2011,真题,3,digital_text,1177,599
2011年计算机408统考真题. .pdf,2011,真题,4,digital_text,1263,508
2011年计算机408统考真题. .pdf,2011,真题,5,digital_text,1366,636
2011年计算机408统考真题. .pdf,2011,真题,6,ocr_easyocr,457,327
2011年计算机408统考真题. .pdf,2011,真题,7,digital_text,1034,544
2011年计算机408统考真题. .pdf,2011,真题,8,digital_text,1104,442
2011年计算机408统考真题. .pdf,2011,真题,9,digital_text,297,104
2012年计算机408统考真题. .pdf,2012,真题,1,ocr_easyocr,740,435
2012年计算机408统考真题. .pdf,2012,真题,2,digital_text,1125,482
2012年计算机408统考真题. .pdf,2012,真题,3,digital_text,1234,698
2012年计算机408统考真题. .pdf,2012,真题,4,digital_text,1183,595
2012年计算机408统考真题. .pdf,2012,真题,5,digital_text,1212,613
2012年计算机408统考真题. .pdf,2012,真题,6,digital_text,1273,763
2012年计算机408统考真题. .pdf,2012,真题,7,digital_text,1365,762
2012年计算机408统考真题. .pdf,2012,真题,8,digital_text,1308,262
2013年计算机408统考真题. .pdf,2013,真题,1,ocr_easyocr,813,441
2013年计算机408统考真题. .pdf,2013,真题,2,ocr_easyocr,741,295
2013年计算机408统考真题. .pdf,2013,真题,3,ocr_easyocr,1194,645
2013年计算机408统考真题. .pdf,2013,真题,4,ocr_easyocr,899,583
2013年计算机408统考真题. .pdf,2013,真题,5,ocr_easyocr,1216,526
2013年计算机408统考真题. .pdf,2013,真题,6,ocr_easyocr,1461,849
2013年计算机408统考真题. .pdf,2013,真题,7,ocr_easyocr,688,417
2013年计算机408统考真题. .pdf,2013,真题,8,ocr_easyocr,416,209
2014年计算机408统考真题. .pdf,2014,真题,1,digital_text,1061,379
